index,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
1037,[5199905],[7049904],0.0015457904505778038,0.0014710868228547129,0.0005344182598651887,0.34572490706319703,235.01325801579927,0.000532144267902449,1.5261606684355233
1036,[7049904],[5199905],0.0014710868228547129,0.0015457904505778038,0.0005344182598651887,0.36328125,235.01325801579927,0.000532144267902449,1.5681244027279269
1050,[6409904],[5379905],0.0018273656627648387,0.00185609782727372,0.0007642755759362375,0.4182389937106918,225.33240843507213,0.0007608838064999451,1.715728437248254
1051,[5379905],[6409904],0.00185609782727372,0.0018273656627648387,0.0007642755759362375,0.41176470588235287,225.3324084350721,0.0007608838064999451,1.6968934783732994
1453,[6989904],"[6949904, 5189905]",0.0019078157233897058,0.0013446652990156361,0.0005229253940616362,0.2740963855421687,203.83985943775102,0.0005203600204614777,1.3757409590071652
1448,"[6949904, 5189905]",[6989904],0.0013446652990156361,0.0019078157233897058,0.0005229253940616362,0.38888888888888884,203.839859437751,0.0005203600204614777,1.6332417560889985
1509,"[2726578, 3998011]","[803921, 3908011]",0.0032352417237000134,0.00024135018187460133,0.00013791438964262933,0.04262877442273534,176.62623699568636,0.00013713356346420604,1.0442748049120678
1508,"[803921, 3908011]","[2726578, 3998011]",0.00024135018187460133,0.0032352417237000134,0.00013791438964262933,0.5714285714285714,176.62623699568636,0.00013713356346420604,2.325784435978033
1043,[5329905],[7039904],0.0021549123381660834,0.0018733371259790485,0.0007068112469184754,0.328,175.08861349693254,0.0007027743696321585,1.4853075340387218
1042,[7039904],[5329905],0.0018733371259790485,0.0021549123381660834,0.0007068112469184754,0.3773006134969325,175.0886134969325,0.0007027743696321585,1.6024507319101373
1449,"[6949904, 6989904]",[5189905],0.0009251756971859718,0.00336166324753909,0.0005229253940616362,0.5652173913043478,168.13623188405796,0.0005198152649228898,2.29226817453066
1452,[5189905],"[6949904, 6989904]",0.00336166324753909,0.0009251756971859718,0.0005229253940616362,0.15555555555555556,168.13623188405796,0.0005198152649228898,1.1831149235164904
1034,[6989904],[5189905],0.0019078157233897058,0.00336166324753909,0.0010688365197303773,0.5602409638554217,166.65588507877663,0.001062423085729981,2.266328272615185
1035,[5189905],[6989904],0.00336166324753909,0.0019078157233897058,0.0010688365197303773,0.31794871794871793,166.65588507877663,0.001062423085729981,1.4633682401048045
1029,[5079905],[5739904],0.002746794927049034,0.0027985128231650205,0.001189511610667678,0.4330543933054393,154.74447346489907,0.0011818246698417265,1.7589015161274064
1028,[5739904],[5079905],0.0027985128231650205,0.002746794927049034,0.001189511610667678,0.4250513347022587,154.74447346489907,0.0011818246698417265,1.7345082531090252
1482,"[593921, 2726578]","[3998011, 3908011]",0.0003562788399101258,0.002223869532987398,0.00012067509093730066,0.3387096774193548,152.30645161290323,0.00011988277327997644,1.50883219729158
1479,"[3998011, 3908011]","[593921, 2726578]",0.002223869532987398,0.0003562788399101258,0.00012067509093730066,0.05426356589147287,152.30645161290323,0.00011988277327997644,1.0570003281118983
1478,"[2726578, 3998011]","[593921, 3908011]",0.0032352417237000134,0.00027582877928525865,0.00012067509093730066,0.037300177619893425,135.2294626998224,0.00011978271816195975,1.038458871581665
1483,"[593921, 3908011]","[2726578, 3998011]",0.00027582877928525865,0.0032352417237000134,0.00012067509093730066,0.4375,135.22946269982236,0.00011978271816195975,1.7720262369356443
1040,[7029904],[5309905],0.0032582274553071182,0.0031432987972715935,0.0013274260003103074,0.4074074074074074,129.61141580337193,0.0013171844178688033,1.6821956832796043
1041,[5309905],[7029904],0.0031432987972715935,0.0032582274553071182,0.0013274260003103074,0.42230347349177333,129.61141580337193,0.0013171844178688033,1.725372625259326
1450,"[6989904, 5189905]",[6949904],0.0010688365197303773,0.0038616029099936213,0.0005229253940616362,0.489247311827957,126.69539650537635,0.0005187979718467379,1.9503341248288546
1451,[6949904],"[6989904, 5189905]",0.0038616029099936213,0.0010688365197303773,0.0005229253940616362,0.13541666666666666,126.69539650537634,0.0005187979718467379,1.1553902613747697
1083,[6989904],[6949904],0.0019078157233897058,0.0038616029099936213,0.0009251756971859718,0.4849397590361446,125.57991340361447,0.0009178084704367986,1.9340230867478487
1082,[6949904],[6989904],0.0038616029099936213,0.0019078157233897058,0.0009251756971859718,0.23958333333333334,125.57991340361447,0.0009178084704367986,1.3125595848021177
1475,"[593921, 2726578, 3998011]",[3908011],0.0001838858528568391,0.005482096988294516,0.00012067509093730066,0.65625,119.70784198113208,0.00011966701085716421,2.893142990579507
1486,[3908011],"[593921, 2726578, 3998011]",0.005482096988294516,0.0001838858528568391,0.00012067509093730066,0.0220125786163522,119.70784198113208,0.00011966701085716421,1.0223200138224808
1044,[6349904],[5369905],0.0031950166933875797,0.003332931083030209,0.0012699616712925452,0.39748201438848924,119.2589959067229,0.0012593129008443534,1.6541698218442842
1045,[5369905],[6349904],0.003332931083030209,0.0031950166933875797,0.0012699616712925452,0.38103448275862073,119.2589959067229,0.0012593129008443534,1.6104370203839422
